Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
73,410000,FreeDiamonds,10,,,,,,,,,,,RS10,RS2,RS4,RS5,,102,408,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,74,66,130,16859,348242,93,6,12,400,470,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
74,421000,FreeDiamonds,10,Bellpepper,3,,,,,,,,,RS9,RS7,RS10,RS8,,102,408,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,75,68,135,17366,369602,94,6,12,405,475,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
75,432000,FreeDiamonds,10,,,,,,,,,,,RS5,RS3,RS10,RS7,,104,416,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,75,71,139,17883,390963,95,6,12,415,485,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
76,443000,FreeDiamonds,10,,,,,,,,,,,RS9,RS4,RS7,RS6,,104,416,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,75,73,144,18408,390963,96,6,12,420,495,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
77,454000,FreeDiamonds,10,,,,,,,,,,,RS4,RS11,RS9,RS2,,106,424,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,75,148,18942,423585,97,6,12,430,500,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
78,465000,FreeDiamonds,10,Ginger,3,,,,,,,,,RS6,RS5,RS2,RS9,,106,424,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,78,153,19485,435523,98,6,12,440,510,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
79,476000,FreeDiamonds,10,,,,,,,,,,,RS5,RS9,RS3,RS4,,108,432,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,80,158,20036,447461,99,6,12,445,520,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
80,487000,FreeDiamonds,10,TeaLeaves,3,,,,,,,,,RS10,RS9,RS4,RS8,,108,432,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,82,163,20597,459400,100,6,12,455,525,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
81,498000,FreeDiamonds,10,,,,,,,,,,,RS3,RS10,RS8,RS2,,110,440,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,85,168,21166,493047,101,6,12,460,535,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
82,509000,FreeDiamonds,10,Peony,3,,,,,,,,,RS6,RS8,RS5,RS9,,110,440,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,87,172,21745,503319,102,6,12,470,545,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
83,520000,FreeDiamonds,10,Broccoli,3,,,,,,,,,RS4,RS11,RS6,RS9,,112,448,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,89,177,22332,513591,103,6,12,475,550,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
84,531000,FreeDiamonds,10,Grapes,3,,,,,,,,,RS7,RS9,RS10,RS12,,112,448,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,92,182,22928,523863,104,6,12,485,560,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
85,542000,FreeDiamonds,10,Mint,3,,,,,,,,,RS8,RS2,RS9,RS7,RS10,114,456,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,94,187,23533,534135,105,6,12,490,570,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
86,553000,FreeDiamonds,10,,,,,,,,,,,RS10,RS4,RS3,RS6,RS9,114,456,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,97,192,24148,544407,106,6,12,500,575,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
87,564000,FreeDiamonds,10,,,,,,,,,,,RS11,RS5,RS4,RS8,RS12,116,464,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,99,197,24771,554678,107,6,12,505,585,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
88,575000,FreeDiamonds,10,PassionFruit,3,,,,,,,,,RS8,RS3,RS10,RS9,RS2,116,464,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,101,202,25404,562382,108,6,12,515,590,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
89,586000,FreeDiamonds,10,Mushroom,3,,,,,,,,,RS6,RS4,RS9,RS12,RS10,118,472,80,80,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,104,206,26045,570086,109,6,12,520,600,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
90,597000,FreeDiamonds,10,Eggplant,3,,,,,,,,,RS9,RS5,RS11,RS10,RS7,118,472,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,106,211,26696,577790,110,6,12,530,605,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
91,608000,FreeDiamonds,10,,,,,,,,,,,RS11,RS2,RS3,RS4,RS5,120,480,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,108,216,27356,585494,111,6,12,535,615,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
92,619000,FreeDiamonds,10,Watermelon,3,,,,,,,,,RS6,RS7,RS8,RS9,RS10,120,480,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,111,221,28025,595766,112,6,12,545,620,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
93,630000,FreeDiamonds,10,,,,,,,,,,,RS11,RS3,RS5,RS7,RS9,122,488,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,113,226,28703,606038,113,6,12,550,630,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
94,641000,FreeDiamonds,10,Clay,3,,,,,,,,,RS10,RS8,RS6,RS4,RS2,122,488,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,115,231,29391,616309,114,6,12,555,635,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
95,652000,FreeDiamonds,10,Chickpea,3,,,,,,,,,RS11,RS2,RS3,RS4,RS5,124,496,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,118,235,30088,622472,115,6,12,565,645,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
96,663000,FreeDiamonds,10,,,,,,,,,,,RS6,RS7,RS8,RS9,RS10,124,496,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,120,240,30794,628635,116,6,12,570,650,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
97,674000,FreeDiamonds,10,,,,,,,,,,,RS11,RS3,RS5,RS7,RS9,126,504,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,122,245,31509,634798,117,6,12,575,660,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
98,685000,FreeDiamonds,10,,,,,,,,,,,RS10,RS8,RS6,RS4,RS2,126,504,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,125,249,32234,640961,118,6,12,585,665,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
99,696000,FreeDiamonds,10,,,,,,,,,,,RS12,RS2,RS3,RS4,RS5,128,512,90,90,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,127,254,32968,647124,119,6,12,590,670,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
100,707000,FreeDiamonds,50,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,128,512,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,129,258,33712,654828,120,6,12,595,680,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
101,718000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,129,516,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,76,131,263,33832,662532,120,6,12,600,685,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
102,729000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,129,516,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,133,267,33952,670236,121,6,12,610,690,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
103,740000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,130,520,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,136,272,34073,677940,121,6,12,615,700,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
104,751000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,130,520,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,138,276,34194,688212,121,6,12,620,705,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
105,762000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,131,524,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,140,280,34315,698484,121,6,12,625,710,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
106,773000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,131,524,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,142,285,34436,708755,122,6,12,630,715,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
107,784000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,132,528,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,144,289,34558,719027,122,6,12,635,720,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
108,795000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,132,528,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,146,293,34680,729299,122,6,12,640,730,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
109,806000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,133,532,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,148,297,34802,739571,122,6,12,645,735,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
110,817000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,133,532,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,150,301,34924,745734,123,6,12,650,740,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
111,828000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,134,536,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,152,305,35047,751897,123,6,12,660,745,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
112,839000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,134,536,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,154,309,35170,758060,123,6,12,665,750,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
113,850000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,135,540,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,156,313,35293,764223,123,6,12,670,755,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
114,861000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,135,540,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,158,317,35416,770386,124,6,12,670,760,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
115,872000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,136,544,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,159,320,35540,776549,124,6,12,675,765,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
116,883000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,136,544,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,161,324,35664,782712,124,6,12,680,770,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
117,894000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,137,548,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,163,328,35788,788875,124,6,12,685,775,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
118,905000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,137,548,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,165,331,35912,795038,125,6,12,690,780,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
119,916000,FreeDiamonds,12,Oats,3,,,,,,,,,RS12,RS11,RS12,RS11,RS12,138,552,100,100,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,166,335,36037,801202,125,6,12,695,785,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
120,927000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,138,552,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,168,338,36162,807365,125,6,12,700,790,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
121,938000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,139,556,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,170,341,36287,813528,125,6,12,705,795,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
122,949000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,139,556,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,171,345,36412,819691,126,6,12,710,800,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
123,960000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,140,560,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,173,348,36538,825854,126,6,12,710,800,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
124,971000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,140,560,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,174,351,36664,832017,126,6,12,715,805,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
125,982000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,141,564,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,176,354,36790,832017,126,6,12,720,810,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
126,993000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,141,564,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,177,357,36916,832017,127,6,12,725,815,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
127,1004000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,142,568,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,77,179,360,37043,832017,127,6,12,725,820,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
128,1015000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,142,568,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,180,363,37170,832017,127,6,12,730,820,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
129,1026000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,143,572,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,182,366,37297,832017,127,6,12,735,825,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
130,1037000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,143,572,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,183,369,37424,832017,128,6,12,735,830,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
131,1048000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,144,576,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,184,371,37552,832017,128,6,12,740,830,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
132,1059000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,144,576,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,186,374,37680,832017,128,6,12,745,835,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
133,1070000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,145,580,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,187,377,37808,832017,128,6,12,745,840,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
134,1081000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,145,580,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,188,379,37936,832017,129,6,12,750,845,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
135,1092000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,146,584,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,189,382,38065,832017,129,6,12,755,845,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
136,1103000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,146,584,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,191,384,38194,832017,129,6,12,755,850,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
137,1114000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,147,588,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,192,387,38323,832017,129,6,12,760,850,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
138,1125000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,147,588,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,193,389,38452,832017,130,6,12,760,855,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
139,1136000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,148,592,120,120,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,194,391,38582,832017,130,6,12,765,860,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
140,1147000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,148,592,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,195,393,38712,832017,130,6,12,765,860,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
141,1158000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,149,596,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,196,396,38842,832017,130,6,12,770,865,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
142,1169000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,149,596,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,197,398,38972,832017,131,6,12,770,865,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
143,1180000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,150,600,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,198,400,39103,832017,131,6,12,775,870,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
144,1191000,FreeDiamonds,12,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,150,600,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,199,402,39234,832017,131,6,12,775,870,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
145,1202000,FreeDiamonds,12,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,151,604,140,140,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,200,404,39365,832017,131,6,12,780,875,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
