TID,IT
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Impossibile connettersi al server. Codice errore: <CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Riprova
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Connessione fallita
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Impossibile stabilire una connessione con il server. Verifica la connessione a Internet e riprova.
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,Riprova
TID_FENCE_01,Recinto
TID_FENCE_01_DESCRIPTION,Decora la tua fattoria
TID_FENCE_02,Muro di pietra
TID_FENCE_02_DESCRIPTION,Decora la tua fattoria
TID_FENCE_03,Sentiero di pietra
TID_FENCE_03_DESCRIPTION,Decora la tua fattoria
TID_FLOWERPOT_1,Dalie
TID_FLOWERPOT_1_DESCRIPTION,Attira le farfalle
TID_FLOWERBED_1,Margherite
TID_FLOWERBED_1_DESCRIPTION,Attira le farfalle
TID_FLOWERBED_2,Lupini
TID_FLOWERBED_2_DESCRIPTION,Attira le farfalle
TID_BARREL_1,Barili
TID_BARREL_1_DESCRIPTION,Decora la tua fattoria
TID_BARREL_2,Botti
TID_BARREL_2_DESCRIPTION,Decora la tua fattoria
TID_BIRDHOUSE_1,Casetta per uccelli
TID_BIRDHOUSE_1_DESCRIPTION,Attira gli uccelli
TID_GAZEBO_1,Gazebo
TID_GAZEBO_1_DESCRIPTION,Decora la tua fattoria
TID_LANTERN,Lanterna
TID_LANTERN_DESCRIPTION,Decora la tua fattoria
TID_HAYCART,Carretto di fieno
TID_HAYCART_DESCRIPTION,Decora la tua fattoria
TID_HAYBALE_1,Balla di fieno
TID_HAYBALE_1_DESCRIPTION,Decora la tua fattoria
TID_WHEELBARROW,Carriola
TID_WHEELBARROW_DESCRIPTION,Attira le farfalle
TID_BIRDHOUSE_2,Casetta da scricciolo
TID_BIRDHOUSE_2_DESCRIPTION,Attira gli uccelli
TID_GAZEBO_2,Padiglione
TID_GAZEBO_2_DESCRIPTION,Decora la tua fattoria
TID_HAYBALE_2,Fieno fresco
TID_HAYBALE_2_DESCRIPTION,Decora la tua fattoria
TID_PEOPLE_ORDER_GREETING1,Ciao! Te ne avanzano un po'?
TID_PEOPLE_ORDER_GREETING2,Ciao! Ne hai a disposizione?
TID_PEOPLE_ORDER_GREETING3,Buon pomeriggio! Vorrei comprare qualcosa.
TID_PEOPLE_ORDER_GREETING4,Mi venderesti questo?
TID_PEOPLE_ORDER_GREETING5,"Ehi, tu! Hai prodotti da vendere?"
TID_PEOPLE_ORDER_GREETING6,Salve! Facciamo affari.
TID_PEOPLE_ORDER_GREETING7,Che ne dici di vendermi questo?
TID_PEOPLE_ORDER_GREETING8,Che bella giornata! Vuoi fare affari?
TID_PEOPLE_ORDER_GREETING9,Ciao! Devo comprare delle cose per la mamma.
TID_PEOPLE_ORDER_GREETING10,Ciao! Devo fare la spesa per la nonna.
TID_PEOPLE_ORDER_REENGAGEMENT1,"Toh, chi si rivede! Allora non hai abbandonato 'sto posto!"
TID_PEOPLE_ORDER_REENGAGEMENT2,"Ah, rieccoti! Senti, mi servono delle cose."
TID_PEOPLE_ORDER_REENGAGEMENT3,"Mi stavo appunto chiedendo che fine avevi fatto. A dire il vero, lo stavo chiedendo in giro, piuttosto che a me..."
TID_PEOPLE_ORDER_REENGAGEMENT4,Me li regali? No? Uff... E va bene.
TID_PEOPLE_ORDER_REENGAGEMENT5,"Ehi, ciao! Allora, ce le hai quelle cose che ti avevo chiesto?"
TID_PEOPLE_ORDER_REENGAGEMENT6,"Hai dei pantaloni della mia taglia? Altrimenti, prendo quelli che ci sono."
TID_PEOPLE_ORDER_REENGAGEMENT7,"Oplalì oplalà, è bello rivederti qua!"
TID_PEOPLE_ORDER_REENGAGEMENT8,"Che bello rivederti, tesoro! Che cosa mi consigli di comprare oggi?"
TID_PEOPLE_ORDER_REENGAGEMENT9,Parli di tutti quegli esplosivi che ho comprato? Non chiedere a cosa mi servono...
TID_PEOPLE_ORDER_REENGAGEMENT10,"È davvero una giornata bellissima per il tuo ritorno, non trovi? Ah, la nonna ti saluta."
TID_PEOPLE_ORDER_YOU_HAVE,(Ne hai:
TID_PEOPLE_ORDER_YOU_HAVE2,)
TID_DIAMONDS_TO_START_ACTION,per effettuare l'azione
TID_NAME_FARM_TITLE,Qual è il nome della tua fattoria?
TID_DEFAULT_FARM_NAME,Fattoria di <NAME>
TID_NAME_FARM_INPUT_FIELD_TEXT,TOCCA QUI PER SCRIVERE
TID_NAME_FARM_WAITING,Approvazione nome in corso...
TID_NAME_FARM_FAILED,NOME NON VALIDO!
TID_GUEST_YES,"Sì, ecco fatto"
TID_GUEST_NO,"No, mi dispiace"
TID_GUEST_CANCEL,Tra un attimo
TID_MYSTERY_BOX_TITLE,Bloccata!
TID_MYSTERY_BOX_DESCRIPTION,La scatola misteriosa che hai trovato è bloccata! Puoi aprirla usando i diamanti.
TID_MYSTERY_BOX_OPEN,per aprire
TID_SETTINGS_TITLE,Impostazioni
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED,<SOCIAL_MEDIA> - Connesso
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED,<SOCIAL_MEDIA> - Disconnesso
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING,<SOCIAL_MEDIA> - Connessione in corso
TID_ABOUT_TITLE,Info
TID_SETTING_CHANGE_NAME,Cambia nome fattoria
TID_FRIEND_BAR_SOCIAL_BUTTON_CONNECT,Connettiti
TID_ABOUT_TEXT,"Hay Day (tm) v. <VERSION>\n\nCopyright 2012-2025 Supercell Oy. Tutti i diritti riservati.\n\nQualsiasi utilizzo di questo software è soggetto\nalle Condizioni d'Uso, consultabili su http://supercell.com/en/terms-of-service/it/, e alla Normativa sulla privacy, che puoi trovare alla pagina http://supercell.com/en/privacy-policy/it/.\n\nRICONOSCIMENTI\n<CREDITS>\n\n"
TID_FLOATER_PET_HABITAT_NEEDED,Il tuo piccolo amico ha bisogno di una casetta!
TID_FLOATER_PET_HABITAT_NEEDED_MOBILE,Il tuo piccolo amico ha bisogno di una casetta!
TID_FLOATER_PET_HABITAT_FULL,Tutte le casette per animali sono piene!
TID_FLOATER_PET_HABITAT_FULL_MOBILE,Tutte le casette per animali sono piene!
TID_FLOATER_HOUSE_COMING_SOON,Gli obiettivi si attivano al livello <LEVEL>
TID_FLOATER_HOUSE_COMING_SOON_MOBILE,Gli obiettivi si attivano al livello <LEVEL>
TID_FLOATER_PAINT_SHACK_COMING_SOON,Capanno dei colori presto disponibile!
TID_FLOATER_DOCK_COMING_SOON,Molo e classifica barche disponibili dal livello <LEVEL>
TID_FLOATER_DOCK_COMING_SOON_MOBILE,Molo e classifica barche disponibili dal livello <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON,La bancarella aprirà al livello <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON_MOBILE,La bancarella aprirà al livello <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON,Puoi sgombrare il terreno al livello <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON_MOBILE,Puoi sgombrare il terreno al livello <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON,La consegna del giornale inizia al livello <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON_MOBILE,La consegna del giornale inizia al livello <LEVEL>
TID_FLOATER_HABITAT_FULL,Questo recinto è pieno. Acquistane un altro dal negozio.
TID_FLOATER_HABITAT_FULL_MOBILE,Questo recinto è pieno. Acquistane un altro dal negozio.
TID_FLOATER_PROCESSING_BUILDING_CLAIM_BUT_WAREHOUSE_FULL,Il granaio è pieno!
TID_FLOATER_INVALID_OBJECT_POSITION,Non c'è abbastanza spazio!
TID_FLOATER_COORDINATE_NOT_IN_HABITAT,Metti gli animali nei recinti!
TID_FLOATER_BOAT_COMING_SOON,La barca arriverà al livello <LEVEL>
TID_FLOATER_QUEUE_FULL,Raccogli oggetti per sbloccare la coda di produzione!
TID_FLOATER_PET_HUNGRY,Dai da mangiare al tuo animale nella sua casetta.
TID_FLOATER_EXPANSION_COMING_SOON,Le espansioni sono disponibili dal livello <LEVEL>
TID_FLOATER_EXPANSION_COMING_SOON_MOBILE,Le espansioni sono disponibili dal livello <LEVEL>
TID_FLOATER_EXPANSION_CONNECTION,La terra deve essere collegata alla fattoria
TID_FLOATER_EXPANSION_CONNECTION_MOBILE,La terra deve essere collegata alla fattoria
TID_FLOATER_FISHING_BOAT_COMING_SOON_TEASER,Prossimamente!
TID_FLOATER_FISHING_BOAT_COMING_SOON,La barca da pesca è disponibile dal livello <LEVEL>
TID_FLOATER_FISHING_BOAT_COMING_SOON_MOBILE,La barca da pesca è disponibile dal livello <LEVEL>
TID_SETTING_FEEDBACK,Segnala un problema
TID_ADD_FRIENDS,"Gioca con me a Hay Day, una fattoria mai vista prima! Gestisci la tua fattoria servendoti dei comandi touch innovativi, prenditi cura degli animali e scambia prodotti con gli altri giocatori."
TID_RATE_APP_TITLE,Valuta Hay Day
TID_RATE_APP_MESSAGE,Valutaci sull'App Store per aiutarci a realizzare altri giochi stupendi!
TID_RATE_APP_LATER,Non ora
TID_RATE_APP_LATER_ANDROID,Non ora
TID_RATE_APP_REVIEW,OK
TID_RATE_APP_NEVER,Non me lo chiedere più
TID_RATE_APP_NEVER_ANDROID,Non me lo chiedere più
TID_NEED_MORE_COWBELL_TITLE,Impossibile completare l'ordine!
TID_NEED_MORE_COWBELL_TEXT,Produci questi beni o acquistali dagli amici:
TID_FEEDBACK_EMAIL_TITLE,Feedback%20for%20Hay%20Day
TID_FLOATER_ORDER_TABLE_COMING_SOON,La bacheca degli ordini è disponibile al livello <LEVEL>
TID_FLOATER_ORDER_TABLE_COMING_SOON_MOBILE,La bacheca degli ordini è disponibile al livello <LEVEL>
TID_WARNING_LAST_CROP_TITLE,Attenzione!
TID_WARNING_LAST_CROP_TEXT,Stai per utilizzare le ultime colture. Vuoi continuare?
TID_NATIVE_DIALOG_BANNED_TITLE,Connessione fallita
TID_NATIVE_DIALOG_BANNED_MESSAGE,Impossibile stabilire una connessione con il server. Riprova più tardi.
TID_NATIVE_DIALOG_BANNED_BUTTON,OK
TID_ACHIEVEMENT_PRETTY_FARMER,Fattoria dei sogni
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,Investi <NUMBER> monete per decorare la tua fattoria.
TID_ACHIEVEMENT_COMMUNITY_PROVIDER,Bip bip!
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,Completa <NUMBER> consegne con il furgone.
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION_MOBILE,Completa <NUMBER> consegne con il furgone.
TID_ACHIEVEMENT_LOCAL_SELLER,Ding!
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,Guadagna <NUMBER> monete vendendo dei prodotti alla bancarella.
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,Clientela
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,Vendi dei prodotti ai clienti <NUMBER> volte.
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION_MOBILE,Vendi dei prodotti ai clienti <NUMBER> volte.
TID_ACHIEVEMENT_TURBO_HARVEST,Raccoglitore folle
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,Raccogli le colture da <NUMBER> campi in <MINUTES> minuti.
TID_ACHIEVEMENT_TURBO_CAR_ORDERS,Furgone turbo
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,Consegna <NUMBER> ordini con il furgone in <MINUTES> minuti.
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,Allevatore folle
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,Raccogli <NUMBER> prodotti animali in <MINUTES> minuti.
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION_MOBILE,Raccogli <NUMBER> prodotti animali in <MINUTES> minuti.
TID_ACHIEVEMENT_BONANZA,Magnate della fattoria
TID_ACHIEVEMENT_BONANZA_DESCRIPTION,Costruisci <NUMBER> edifici produttivi.
TID_ACHIEVEMENT_CITIZEN_KANE,Quarto potere
TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,Metti un annuncio sul giornale <NUMBER> volte.
TID_ACHIEVEMENT_EGGHEAD,Testa d'uovo
TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,Raccogli <NUMBER> uova.
TID_ACHIEVEMENT_GOT_MILK,Latte e...
TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,Raccogli <NUMBER> brocche di latte.
TID_ACHIEVEMENT_BACONATOR,Fan del maiale
TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,Raccogli <NUMBER> fette di pancetta.
TID_ACHIEVEMENT_SHEEP_SHEARER,Tosapecore
TID_ACHIEVEMENT_SHEEP_SHEARER_DESCRIPTION,Raccogli <NUMBER> unità di lana.
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION,Obiettivo del banco dei regali
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION_DESCRIPTION,Raggiungi il <NUMBER>º livello di maestria col banco dei regali.
TID_ACHIEVEMENTS_TITLE,Obiettivi
TID_ACHIEVEMENT_LEVEL_1,II
TID_ACHIEVEMENT_LEVEL_2,III
TID_ACHIEVEMENT_CLAIM_REWARD_BUTTON,Richiedi ricompensa
TID_ACHIEVEMENTS_COMPLETED,Completamento: <COUNT>/<MAX>
TID_ACHIEVEMENTS_SCORE,Punteggio fattoria: <SCORE>
TID_ACHIEVEMENT_POINTS_TEXT,Livello <POINTS>
TID_NEED_MORE_FRIENDS,Si sblocca aggiungendo <NUMBER> nuovi amici di Supercell ID.
TID_CONFIRM_RESTART_FARM_TITLE,Vuoi ricominciare il gioco?
TID_CONFIRM_RESTART_FARM_TEXT,"ATTENZIONE: se decidi di ricominciare, perderai i progressi attuali, le monete, i diamanti e tutti gli acquisti in-app!\nIl pacchetto di riavvio contiene 25 diamanti per avviare la tua nuova fattoria."
TID_CONFIRM_RESTART_FARM_YES,Ricomincia
TID_CONFIRM_RESTART_FARM_NO,Annulla
TID_CONFIRM_RESTART_FARM_PENDING_YES,In attesa del server
TID_RESTART_FARM,Ricomincia il gioco
TID_NEXT_FREE_ADVERTISEMENT_IN_TIME,Pubblicità gratis tra:
TID_ROADSIDE_SHOP_CREATE_AD,Crea annuncio
TID_ROADSIDE_SHOP_EDIT_SALE,Modifica vendita
TID_CONFIRM_OBJECT_TRASH_TITLE,Vuoi gettare via l'oggetto?
TID_CONFIRM_OBJECT_TRASH_TEXT,Vuoi davvero gettare via questo oggetto? Non potrai riaverlo.
TID_CONFIRM_OBJECT_TRASH_YES,Getta via
TID_CONFIRM_OBJECT_TRASH_NO,Annulla
TID_NEW_ACHIEVEMENT_GAINED,Obiettivo sbloccato!
TID_RESTART_PACKAGE_BILLING_NAME,Pacchetto di riavvio
TID_BOAT_WAITING_AT_DOCK,La barca parte tra:
TID_BOAT_BONUS_REWARD,Spedizione completa:
TID_BOAT_ORDER_TITLE,Carica
TID_BOAT_ARRIVING_IN,La barca arriverà tra:
TID_BOAT_NEXT_ORDER,Prossimo ordine:
TID_FLOATER_MINE_COMING_SOON,Estrai metalli preziosi e diamanti al livello <LEVEL>!
TID_FLOATER_MINE_COMING_SOON_MOBILE,Estrai metalli preziosi e diamanti al livello <LEVEL>!
TID_SILVER_ORE,Minerale d'argento
TID_GOLD_ORE,Minerale d'oro
TID_PLATINUM_ORE,Minerale di platino
TID_SILVER_ORE_DESCRIPTION,Raccogli dalla miniera
TID_GOLD_ORE_DESCRIPTION,Raccogli dalla miniera
TID_PLATINUM_ORE_DESCRIPTION,Raccogli dalla miniera
TID_SILVER_BAR,Lingotto d'argento
TID_GOLD_BAR,Lingotto d'oro
TID_PLATINUM_BAR,Lingotto di platino
TID_SMELTER_PRODUCT_DESCRIPTION,Prodotto della fonderia
TID_SMELTER,Fonderia
TID_SMELTER_DESCRIPTION,Trasforma il minerale in metallo
TID_SMELTER_DESCRIPTION_MOBILE,Trasforma il minerale in metallo
TID_SPEED_UP_BOAT,Fa' arrivare la barca
TID_SEND_SHIP_POPUP_TITLE,Posso salpare?
TID_SEND_SHIP_POPUP_DESCRIPTION,Non hai completato la spedizione!\n\nLa barca tornerà tra qualche ora.
TID_SEND_SHIP_POPUP_YES,"Sì, salpa"
TID_SEND_SHIP_POPUP_NO,"No, continua a caricare"
TID_HINT_FACEBOOK_LIKE,Trovaci su Facebook per sapere tutto su Hay Day! Visita: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_MOBILE,Trovaci su Facebook per sapere tutto su Hay Day! Visita: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_FARMS,"Quando visiti una fattoria carina, tocca la faccina sorridente per dire che ti piace!"
TID_HINT_FACEBOOK_LIKE_FARMS_MOBILE,"Quando visiti una fattoria carina, tocca la faccina sorridente per dire che ti piace!"
TID_HINT_STATS,Tocca la tua stella del livello per visualizzare le statistiche della fattoria.
TID_HINT_STATS_MOBILE,Tocca la tua stella del livello per visualizzare le statistiche della fattoria.
TID_HINT_ROTATE,Puoi spostare e ruotare gli oggetti toccandoli e tenendoli premuti.
TID_HINT_ROTATE_MOBILE,Puoi spostare e ruotare gli oggetti toccandoli e tenendoli premuti.
TID_HINT_FAN_SWITCH,"Quando semini, tocca il pulsante \qCambia\q per avere accesso a una maggiore varietà di prodotti."
TID_HINT_FAN_SWITCH_MOBILE,"Quando semini, tocca il pulsante \qCambia\q per avere accesso a una maggiore varietà di prodotti."
TID_HINT_TREES,Puoi usare seghe e asce per abbattere alberi da frutto e cespugli.
TID_HINT_TREES_MOBILE,Puoi usare seghe e asce per abbattere alberi da frutto e cespugli.
TID_HINT_MINE,"Puoi usare dinamite, barili di TNT e pale nella miniera."
TID_HINT_GAMECENTER_FRIENDS,Puoi aggiungere gli amici anche con Game Center o Supercell ID!
TID_HINT_GAMECENTER_FRIENDS_ANDROID,Puoi aggiungere gli amici su Hay Day facendolo su Supercell ID!
TID_HINT_ROADSIDESHOP,"Per utilizzare la bancarella e il giornale, accedi a Game Center!"
TID_HINT_ROADSIDESHOP_MOBILE,QUESTION_17
TID_HINT_ROADSIDESHOP_ANDROID,"Per utilizzare la bancarella e il giornale, accedi a Supercell ID!"
TID_HINT_ROADSIDESHOP_MOBILE_ANDROID,"Per utilizzare la bancarella e il giornale, accedi a Supercell ID!"
TID_HINT_GENERAL_HELP,"Raccogli i prodotti e produci merci, conservale e vendile su richiesta!"
TID_HINT_GENERAL_HELP_MOBILE,"Raccogli i prodotti e produci merci, conservale e vendile su richiesta!"
TID_BOAT_ARRIVING_SOON,Barca in arrivo!
TID_NOTIFICATION_ROADSIDE_SHOP_CLEAR,Gli articoli della tua bancarella sono stati venduti!
TID_REPAIR_DOCKS_TITLE,Riparare il molo?
TID_REPAIR_DOCKS_TEXT,Ripara il molo per far attraccare la barca ed effettuare spedizioni!
TID_REPAIR_DOCKS_TEXT_MOBILE,Ripara il molo per far attraccare la barca ed effettuare spedizioni!
TID_REPAIR_DOCKS_YES,Inizia a riparare
TID_REPAIR_MINE_TITLE,Riparare la miniera?
TID_REPAIR_MINE_TEXT,"Nella miniera puoi estrarre minerali usando la dinamite, il barile di TNT e la pala. Puoi trovare minerali di valore e persino diamanti!"
TID_REPAIR_MINE_YES,Inizia a riparare
TID_FRUIT_TREE_FB_HELP_TITLE,Ho bisogno d'aiuto nel mio frutteto!
TID_APPLE_TREE_FB_HELP_TEXT,Il mio melo sta appassendo. Potresti annaffiarlo?
TID_CHERRY_TREE_FB_HELP_TEXT,"Il mio ciliegio sta appassendo. Annaffialo, per favore!"
TID_CACAO_TREE_FB_HELP_TEXT,"Il mio albero del cacao sta appassendo. Per favore, annaffialo!"
TID_RASPBERRY_BUSH_FB_HELP_TEXT,Il mio cespuglio di lamponi ha bisogno di essere annaffiato. Mi potresti aiutare?
TID_BLUEBERRY_BUSH_FB_HELP_TEXT,Ho dimenticato di annaffiare il mio cespuglio di more. Potresti pensarci tu?
TID_FRIEND_BAR_FRIENDS_TAB,Amici
TID_FRIEND_BAR_FOLLOWERS_TAB,Seguaci
TID_MINE,Miniera
TID_DOCKS,Molo
TID_GENERIC_FB_DESCRIPTION,"Hay Day è un gioco in cui provare un'esperienza della vita in campagna completamente nuova, che si gioca con comandi touch innovativi, creati appositamente per il tuo dispositivo."
TID_SOCIAL_LOGIN_FRUIT_TREES_TITLE,Un raccolto più ricco
TID_SOCIAL_LOGIN_FRUIT_TREES_TEXT,Puoi ottenere un raccolto in più con l'aiuto dei tuoi amici di Supercell ID.
TID_FRIEND_BAR_FOLLOWERS,Numero seguaci
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_TITLE,Manutenzione programmata
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_MESSAGE,"Ehilà, agricoltori, presto ci sarà una manutenzione! Il server si riavvierà fra <MINUTES> minuti e dovrebbe essere di nuovo online dopo qualche minuto."
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_BUTTON,Oink!
TID_NATIVE_DIALOG_MAINTENANCE_TITLE,Server non in linea
TID_NATIVE_DIALOG_MAINTENANCE_MESSAGE,"Il sito di Hay Day è in manutenzione. Ci dispiace per l'inconveniente, torna più tardi!"
TID_NATIVE_DIALOG_MAINTENANCE_BUTTON,Riprova ad accedere
TID_STAND_ALREADY_BOUGHT,"Spiacenti, qualcuno ha già acquistato questo prodotto!"
TID_START_FOLLOWING,Fattoria seguita e aggiunta alla barra degli amici.
TID_STOP_FOLLOWING,Non segui più questa fattoria.
TID_MAX_FOLLOWERS,Non puoi seguire questa fattoria! Tutti gli spazi sono occupati.
TID_FOLLOWER_BAR_INFO,Qui troverai le persone che ti seguono.
TID_FB_LOGIN_REWARD_BUTTON_TEXT,Ottieni <NUMBER> diamanti!
TID_FB_LOGIN_LATER_BUTTON_TEXT,Non ora
TID_FB_LOGIN_NEVER_BUTTON_TEXT,Non me lo chiedere più
TID_BOY_FIRST_POPUP_TEXT,"Ciao, sono Tom e posso aiutarti nelle commissioni. Ti aspetto alla bancarella!"
TID_BOY_FIRST_POPUP_BUTTON,"Ok, proviamo!"
TID_BOY_SEARCH_TEXT,Cosa dovrei cercare?
TID_BOY_SEARCH_TIMER,Al tuo servizio: <TIME>
TID_BOY_SEARCH_TIMER_JUST_TITLE,Al tuo servizio:
TID_BOY_SEARCH_BUTTON,Inizia a cercare
TID_BOY_FOUND_TEXT,Ecco cos'ho trovato. Quale vuoi?
TID_BOY_FOUND_CANCEL_BUTTON,Niente
TID_BOY_RESTING_TEXT,Zzz... Devo proprio riposarmi un po'... zzZZZzz...
TID_BOY_RESTING_TIMER,Di nuovo disponibile tra: <TIME>
TID_BOY_HIRE_TEXT,Vuoi assumermi ancora?
TID_BOY_HIRE_REENGAGEMENT_TEXT,"Ehilà, <name>! È davvero bello riaverti qui con noi! Sarò qui in giro per i prossimi due giorni, se hai bisogno di me. Ah, e come regalo di bentornato, ti aiuterò gratis!"
TID_BOY_HIRE_TIME,<DAYS> giorni
TID_BOY_HIRE_TIME_1DAY,1 giorno
TID_BOY_HIRE_CANCEL_BUTTON,"No, grazie"
TID_BOY_HIRE_CANCELED_TEXT,"È stato bello lavorare per te! Se hai altre commissioni da fare, chiamami pure toccando la scatola!"
TID_BOY_HIRE_CANCELED_TEXT_MOBILE,"È stato bello lavorare per te! Se hai altre commissioni da fare, chiamami pure toccando la scatola!"
TID_FAQ_TITLE,Assistenza Hay Day
TID_FAQ_BUTTON,Guida e assistenza
TID_UPDATE_REQUIRED_DIALOG_TITLE,Aggiornamento richiesto
TID_MAINTENANCE_DIALOG_TITLE,Manutenzione
TID_FAQ_QUESTION_1,D: perché non riesco ad aprire la pagina di Facebook usando il pulsante \qUltimi aggiornamenti\q quando la lingua è impostata sul cinese?
TID_FAQ_ANSWER_1,"R: visto che Facebook non è accessibile in Cina, il pulsante riporta alla nostra fan page cinese su Weibo. Se stai usando le impostazioni della lingua cinese su Hay Day, ma dovresti avere accesso a Facebook nella tua regione, il link è: http://www.facebook.com/HayDayOfficial"
TID_STRAWBERRY,Fragole
TID_FAQ_QUESTION_2,D: ho perso la mia fattoria. Come posso fare per riaverla?
TID_FAQ_ANSWER_2,"R: ti consigliamo di giocare con una sola fattoria per dispositivo e di collegarla al tuo account di Game Center o di Supercell ID. Se carichi più fattorie sullo stesso dispositivo, potresti perdere l'accesso a uno o a tutti gli account. Se hai perso la fattoria, contatta il nostro servizio di assistenza premendo il pulsante \qSegnala un problema\q qui sotto. Non dimenticare di indicare il nome e il livello della tua vecchia fattoria!"
TID_FAQ_ANSWER_2_ANDROID,"R: ti consigliamo di giocare con una sola fattoria per dispositivo e di collegarla al tuo account di Google Play o di Supercell ID. Se carichi più fattorie sullo stesso dispositivo, potresti perdere l'accesso a uno o a tutti gli account. Se hai perso la fattoria, contatta il nostro servizio di assistenza premendo il pulsante \qSegnala un problema\q qui sotto. Non dimenticare di indicare il nome e il livello della tua vecchia fattoria!"
TID_FAQ_QUESTION_3,"D: non riesco ad acquistare i diamanti. Aiutatemi, per favore!"
TID_FAQ_ANSWER_3,"R: i problemi relativi all'acquisto di diamanti o monete di solito sono temporanei. Riprova tra un paio d'ore! Inoltre, assicurati di aver abilitato gli acquisti in-app sul dispositivo e di avere installato l'ultima versione di iOS. Se il problema persiste, contatta il nostro servizio di assistenza premendo il pulsante \qSegnala un problema\q qui sotto."
TID_FAQ_ANSWER_3_ANDROID,"R: i problemi relativi all'acquisto di diamanti o monete di solito sono temporanei. Riprova tra un paio d'ore! Inoltre, assicurati di aver abilitato gli acquisti in-app sul dispositivo e di avere installato l'ultima versione del sistema operativo di Android. Se il problema persiste, contatta il nostro servizio di assistenza premendo il pulsante \qSegnala un problema\q qui sotto."
TID_FAQ_QUESTION_4,D: come posso ottenere più diamanti?
TID_FAQ_ANSWER_4,"R: puoi ottenere diamanti con gli obiettivi e salendo di livello. Potrai anche trovarli casualmente nelle scatole misteriose e nella miniera. Se visiterai altre fattorie, avrai la possibilità di trovare altre scatole misteriose. Ricorda che i diamanti possono essere anche acquistati!"
TID_FAQ_QUESTION_5,D: ho finito il grano o altre colture! Come posso procurarmene delle altre?
