TID,NO
TID_FENCE_02_DESCRIPTION,Pynt opp gården
TID_FENCE_03,Heller
TID_FENCE_03_DESCRIPTION,Pynt opp gården
TID_FLOWERPOT_1,Georginer
TID_FLOWERPOT_1_DESCRIPTION,Tiltrekker seg sommerfugler
TID_FLOWERBED_1,Tusenfryd
TID_FLOWERBED_1_DESCRIPTION,Tiltrekker seg sommerfugler
TID_FLOWERBED_2,Lupiner
TID_FLOWERBED_2_DESCRIPTION,Tiltrekker seg sommerfugler
TID_BARREL_1,Fat
TID_BARREL_1_DESCRIPTION,Pynt opp gården
TID_BARREL_2,Tønner
TID_BARREL_2_DESCRIPTION,Pynt opp gården
TID_BIRDHOUSE_1,Fuglehus
TID_BIRDHOUSE_1_DESCRIPTION,Tiltrekker seg fugler
TID_GAZEBO_1,Lysthus
TID_GAZEBO_1_DESCRIPTION,Pynt opp gården
TID_LANTERN,Lykt
TID_LANTERN_DESCRIPTION,Pynt opp gården
TID_HAYCART,Høyvogn
TID_HAYCART_DESCRIPTION,Pynt opp gården
TID_HAYBALE_1,Høyballe
TID_HAYBALE_1_DESCRIPTION,Pynt opp gården
TID_WHEELBARROW,Trillebår
TID_WHEELBARROW_DESCRIPTION,Tiltrekker seg sommerfugler
TID_BIRDHOUSE_2,Fuglekasse
TID_BIRDHOUSE_2_DESCRIPTION,Tiltrekker seg fugler
TID_GAZEBO_2,Paviljong
TID_GAZEBO_2_DESCRIPTION,Pynt opp gården
TID_HAYBALE_2,Ferskt høy
TID_HAYBALE_2_DESCRIPTION,Pynt opp gården
TID_PEOPLE_ORDER_GREETING1,Hei sann! Kan du unnvære dette?
TID_PEOPLE_ORDER_GREETING2,Hei! Har du denne på lager?
TID_PEOPLE_ORDER_GREETING3,God ettermiddag! Jeg vil kjøpe noe.
TID_PEOPLE_ORDER_GREETING4,Kan du selge meg dette?
TID_PEOPLE_ORDER_GREETING5,Hei sann! Har du noe å selge?
TID_PEOPLE_ORDER_GREETING6,God dag! La oss gjøre forretninger.
TID_PEOPLE_ORDER_GREETING7,Hva sier du til å selge meg dette?
TID_PEOPLE_ORDER_GREETING8,Pent vær i dag! Har dere åpent?
TID_PEOPLE_ORDER_GREETING9,Hei! Mamma sendte meg for å kjøpe noen ting.
TID_PEOPLE_ORDER_GREETING10,Hei! Jeg handler for bestemor.
TID_PEOPLE_ORDER_REENGAGEMENT1,"Ai, ai, ai. Du er tilbake. Jeg trodde du hadde lagt inn årene."
TID_PEOPLE_ORDER_REENGAGEMENT2,Hør godt etter ... Jeg har lyst til å kjøpe ting.
TID_PEOPLE_ORDER_REENGAGEMENT3,Jeg lurte på hvor det var blitt av deg. Lurte litt sånn forsiktig ...
TID_PEOPLE_ORDER_REENGAGEMENT4,Kan jeg få dem gratis? Da så. Greit.
TID_PEOPLE_ORDER_REENGAGEMENT5,"Å, hei igjen. Har du de tingene jeg trenger?"
TID_PEOPLE_ORDER_REENGAGEMENT6,Har du noen flanellskjorter i min størrelse? Hvis ikke tar jeg det du har.
TID_PEOPLE_ORDER_REENGAGEMENT7,"Hei sann, hyggelig å se deg også!"
TID_PEOPLE_ORDER_REENGAGEMENT8,"Velkommen tilbake, kjære! Hva kan du anbefale i dag?"
TID_PEOPLE_ORDER_REENGAGEMENT9,Alt det sprengstoffet jeg kjøpte? Ikke spør meg hvorfor jeg trenger det.
TID_PEOPLE_ORDER_REENGAGEMENT10,For en fin dag å være tilbake på. Bestemoren min hilser.
TID_PEOPLE_ORDER_YOU_HAVE,(Du har:
TID_PEOPLE_ORDER_YOU_HAVE2,)
TID_DIAMONDS_TO_START_ACTION,for å starte handlingen
TID_NAME_FARM_TITLE,Hva heter gården din?
TID_DEFAULT_FARM_NAME,<NAME> sin gård
TID_NAME_FARM_INPUT_FIELD_TEXT,TRYKK HER FOR Å SKRIVE
TID_NAME_FARM_WAITING,Godkjenner navn ...
TID_NAME_FARM_FAILED,UGYLDIG NAVN!
TID_GUEST_YES,"Ja, vær så god"
TID_GUEST_NO,"Nei, beklager"
TID_GUEST_CANCEL,Vent et øyeblikk
TID_MYSTERY_BOX_TITLE,Låst!
TID_MYSTERY_BOX_DESCRIPTION,"Forundringskassen du fant, er låst! Du kan åpne den med diamanter."
TID_MYSTERY_BOX_OPEN,for å åpne kassen
TID_SETTINGS_TITLE,Innstillinger
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED,<SOCIAL_MEDIA> - Tilkoblet
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED,<SOCIAL_MEDIA> - Frakoblet
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING,<SOCIAL_MEDIA> - kobler til
TID_ABOUT_TITLE,Om
TID_SETTING_CHANGE_NAME,Gi gården et nytt navn
TID_FRIEND_BAR_SOCIAL_BUTTON_CONNECT,Koble til
TID_ABOUT_TEXT,Hay Day (tm) V. <VERSION>\n\nOpphavsrett 2012–2025 Supercell Oy. Med enerett.\n\nAll bruk av denne programvaren er underlagt\ntjenestevilkårene du finner på http://www.supercell.net/terms-of-service og personvernerklæringen på http://www.supercell.net/privacy-policy\n\nMEDVIRKENDE\n<CREDITS>\n\n
TID_FLOATER_PET_HABITAT_NEEDED,Kjøp først et hus til kjæledyret!
TID_FLOATER_PET_HABITAT_NEEDED_MOBILE,Kjøp først et hus til kjæledyret!
TID_FLOATER_PET_HABITAT_FULL,Alle kjæledyrdyrhusene er fulle!
TID_FLOATER_PET_HABITAT_FULL_MOBILE,Alle kjæledyrdyrhusene er fulle!
TID_FLOATER_HOUSE_COMING_SOON,Utmerkelser låses opp på nivå <LEVEL>
TID_FLOATER_HOUSE_COMING_SOON_MOBILE,Utmerkelser låses opp på nivå <LEVEL>
TID_FLOATER_PAINT_SHACK_COMING_SOON,Maleskuret kommer snart!
TID_FLOATER_DOCK_COMING_SOON,Resultatliste for båter låses opp på nivå <LEVEL>
TID_FLOATER_DOCK_COMING_SOON_MOBILE,Resultatliste for båter låses opp på nivå <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON,Landhandelen åpnes på nivå <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON_MOBILE,Landhandelen åpnes på nivå <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON,Du kan rydde land på nivå <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON_MOBILE,Du kan rydde land på nivå <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON,Avisen leveres på nivå <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON_MOBILE,Avisen leveres på nivå <LEVEL>
TID_FLOATER_HABITAT_FULL,Denne hegnen er full. Kjøp en ny i butikken!
TID_FLOATER_HABITAT_FULL_MOBILE,Denne hegnen er full. Kjøp en ny i butikken!
TID_FLOATER_PROCESSING_BUILDING_CLAIM_BUT_WAREHOUSE_FULL,Låven er full!
TID_FLOATER_INVALID_OBJECT_POSITION,Ikke nok plass her!
TID_FLOATER_COORDINATE_NOT_IN_HABITAT,Plasser dyrene i innhegninger!
TID_FLOATER_BOAT_COMING_SOON,Båt kommer på nivå <LEVEL>
TID_FLOATER_QUEUE_FULL,Samle gjenstander for å lage plass i produksjonskøen.
TID_FLOATER_PET_HUNGRY,Mat kjæledyret i huset sitt
TID_FLOATER_EXPANSION_COMING_SOON,Utvidelser låses opp på nivå <LEVEL>
TID_FLOATER_EXPANSION_COMING_SOON_MOBILE,Utvidelser låses opp på nivå <LEVEL>
TID_FLOATER_EXPANSION_CONNECTION,Jord må knyttes til gården
TID_FLOATER_EXPANSION_CONNECTION_MOBILE,Jord må knyttes til gården
TID_FLOATER_FISHING_BOAT_COMING_SOON_TEASER,Kommer snart!
TID_FLOATER_FISHING_BOAT_COMING_SOON,Fiskebåten åpnes på nivå <LEVEL>
TID_FLOATER_FISHING_BOAT_COMING_SOON_MOBILE,Fiskebåten åpnes på nivå <LEVEL>
TID_SETTING_FEEDBACK,Rapporter et problem
TID_ADD_FRIENDS,"Bli med å spille Hay Day, en helt ny jordbruksopplevelse! Arbeid på gården med innovative berøringskontroller, stell søte dyr, og handle varer med andre spillere."
TID_RATE_APP_TITLE,Vurder Hay Day
TID_RATE_APP_MESSAGE,Gi oss gjerne karakter i App Store slik at vi kan fortsette å lage flotte spill!
TID_RATE_APP_LATER,Ikke akkurat nå
TID_RATE_APP_LATER_ANDROID,Ikke akkurat nå
TID_RATE_APP_REVIEW,OK
TID_RATE_APP_NEVER,Ikke spør igjen
TID_RATE_APP_NEVER_ANDROID,Ikke spør igjen
TID_NEED_MORE_COWBELL_TITLE,Kan ikke fullføre bestillingen.
TID_NEED_MORE_COWBELL_TEXT,Produser dette eller kjøp det av venner:
TID_FEEDBACK_EMAIL_TITLE,Feedback%20for%20Hay%20Day
TID_FLOATER_ORDER_TABLE_COMING_SOON,Bestillingstavlen blir tilgjengelig på nivå <LEVEL>
TID_FLOATER_ORDER_TABLE_COMING_SOON_MOBILE,Bestillingstavlen blir tilgjengelig på nivå <LEVEL>
TID_WARNING_LAST_CROP_TITLE,Advarsel!
TID_WARNING_LAST_CROP_TEXT,Du er i ferd med å bruke de siste avlingene dine. Vil du fortsette?
TID_NATIVE_DIALOG_BANNED_TITLE,Kan ikke koble til
TID_NATIVE_DIALOG_BANNED_MESSAGE,Kan ikke koble til serveren. Prøv på nytt senere.
TID_NATIVE_DIALOG_BANNED_BUTTON,OK
TID_ACHIEVEMENT_PRETTY_FARMER,Drømmegård
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,Invester <NUMBER> mynter i å pynte på gården
TID_ACHIEVEMENT_COMMUNITY_PROVIDER,Tut tut!
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,Fullfør <NUMBER> leveranser med lastebilen
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION_MOBILE,Fullfør <NUMBER> leveranser med lastebilen
TID_ACHIEVEMENT_LOCAL_SELLER,Ka-Ching!
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,Tjen <NUMBER> mynter på salg i landhandelen.
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,Kundegrunnlag
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,Selg varer til besøkende kunder <NUMBER> ganger
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION_MOBILE,Selg varer til besøkende kunder <NUMBER> ganger
TID_ACHIEVEMENT_TURBO_HARVEST,Superhøster
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,Høst inn fra <NUMBER> jordlapper på <MINUTES> minutter
TID_ACHIEVEMENT_TURBO_CAR_ORDERS,Turbosjåfør
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,Lever <NUMBER> bestillinger på <MINUTES> minutter
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,Supergjeter
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,Samle <NUMBER> dyreprodukter på <MINUTES> minutter
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION_MOBILE,Samle <NUMBER> dyreprodukter på <MINUTES> minutter
TID_ACHIEVEMENT_BONANZA,Godseier
TID_ACHIEVEMENT_BONANZA_DESCRIPTION,Bygg <NUMBER> produksjonsbygninger
TID_ACHIEVEMENT_CITIZEN_KANE,Citizen Kane
TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,Sett inn <NUMBER> annonser i avisen
TID_ACHIEVEMENT_EGGHEAD,Egghode
TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,Samle <NUMBER> egg
TID_ACHIEVEMENT_GOT_MILK,Har du melk?
TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,Samle <NUMBER> spann med melk
TID_ACHIEVEMENT_BACONATOR,Svinaktig
TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,Samle <NUMBER> skiver med bacon
TID_ACHIEVEMENT_SHEEP_SHEARER,Saueklipper
TID_ACHIEVEMENT_SHEEP_SHEARER_DESCRIPTION,Samle <NUMBER> ull
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION,Utmerkelse: gaveinnpakkingsstasjon
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION_DESCRIPTION,Ta innpakkingsstasjonen til mestring <NUMBER>
TID_ACHIEVEMENTS_TITLE,Utmerkelser
TID_ACHIEVEMENT_LEVEL_1,II
TID_ACHIEVEMENT_LEVEL_2,III
TID_ACHIEVEMENT_CLAIM_REWARD_BUTTON,Få belønningen!
TID_ACHIEVEMENTS_COMPLETED,Fullført: <COUNT>/<MAX>
TID_ACHIEVEMENTS_SCORE,Gårdspoeng: <SCORE>
TID_ACHIEVEMENT_POINTS_TEXT,Nivå <POINTS>
TID_NEED_MORE_FRIENDS,Du trenger <NUMBER> nye Supercell ID-venner for å låse opp dette!
TID_CONFIRM_RESTART_FARM_TITLE,Starte spillet på nytt?
TID_CONFIRM_RESTART_FARM_TEXT,"ADVARSEL: Hvis du velger omstart, mister du alt av fremdrift, mynter, diamanter og anskaffelser i appen!\nOmstartpakken inneholder 25 diamanter som kan hjelpe deg med å komme i gang med den nye gården."
TID_CONFIRM_RESTART_FARM_YES,Start på nytt
TID_CONFIRM_RESTART_FARM_NO,Avbryt
TID_CONFIRM_RESTART_FARM_PENDING_YES,Venter på serveren
TID_RESTART_FARM,Start spillet på nytt
TID_NEXT_FREE_ADVERTISEMENT_IN_TIME,Gratis annonse om:
TID_ROADSIDE_SHOP_CREATE_AD,Lag annonse
TID_ROADSIDE_SHOP_EDIT_SALE,Rediger salg
TID_CONFIRM_OBJECT_TRASH_TITLE,Kaste element?
TID_CONFIRM_OBJECT_TRASH_TEXT,Er du sikker på at du vil kaste elementet? Du vil ikke få det tilbake.
TID_CONFIRM_OBJECT_TRASH_YES,Kast det
TID_CONFIRM_OBJECT_TRASH_NO,Avbryt
TID_NEW_ACHIEVEMENT_GAINED,Utmerkelse låst opp!
TID_RESTART_PACKAGE_BILLING_NAME,Start pakken på nytt
TID_BOAT_WAITING_AT_DOCK,Båten går om:
TID_BOAT_BONUS_REWARD,Fullfør leveranse:
TID_BOAT_ORDER_TITLE,Last
TID_BOAT_ARRIVING_IN,Båten ankommer om:
TID_BOAT_NEXT_ORDER,Neste bestilling:
TID_FLOATER_MINE_COMING_SOON,Utvinn edle metaller og diamanter på nivå <LEVEL>!
TID_FLOATER_MINE_COMING_SOON_MOBILE,Utvinn edle metaller og diamanter på nivå <LEVEL>!
TID_SILVER_ORE,Sølvmalm
TID_GOLD_ORE,Gullmalm
TID_PLATINUM_ORE,Platinamalm
TID_SILVER_ORE_DESCRIPTION,Samle inn fra gruve
TID_GOLD_ORE_DESCRIPTION,Samle inn fra gruve
TID_PLATINUM_ORE_DESCRIPTION,Samle inn fra gruve
TID_SILVER_BAR,Sølvbarre
TID_GOLD_BAR,Gullbarre
TID_PLATINUM_BAR,Platinabarre
TID_SMELTER_PRODUCT_DESCRIPTION,Produseres i smelteovnen
TID_SMELTER,Smelteovn
TID_SMELTER_DESCRIPTION,Lager metall av malm
TID_SMELTER_DESCRIPTION_MOBILE,Lager metall av malm
TID_SPEED_UP_BOAT,Skaff båt nå
TID_SEND_SHIP_POPUP_TITLE,Kaste loss?
TID_SEND_SHIP_POPUP_DESCRIPTION,Du har ikke fullført leveransen!\n\nBåten kommer tilbake om noen timer.
TID_SEND_SHIP_POPUP_YES,"Ja, kast loss."
TID_SEND_SHIP_POPUP_NO,"Nei, fortsett å laste."
TID_HINT_FACEBOOK_LIKE,Følg oss på Facebook for å få de siste Hay Day-oppdateringene! Gå til: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_MOBILE,Følg oss på Facebook for å få de siste Hay Day-oppdateringene! Gå til: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_FARMS,"Når du besøker en fin gård, kan du trykke du på smilefjeset for å like den!"
TID_HINT_FACEBOOK_LIKE_FARMS_MOBILE,"Når du besøker en fin gård, kan du trykke du på smilefjeset for å like den!"
TID_HINT_STATS,Trykk på nivåstjernen for å se statistikken for gården din.
TID_HINT_STATS_MOBILE,Trykk på nivåstjernen for å se statistikken for gården din.
TID_HINT_ROTATE,Trykk på og hold gjenstander for å rotere dem.
TID_HINT_ROTATE_MOBILE,Trykk på og hold gjenstander for å rotere dem.
TID_HINT_FAN_SWITCH,"Når du planter frø, kan du trykke på \qswitch\q-knappen for å se flere avlinger."
TID_HINT_FAN_SWITCH_MOBILE,"Når du planter frø, kan du trykke på \qswitch\q-knappen for å se flere avlinger."
TID_HINT_TREES,Du kan bruke sager og økser til å hugge frukttrær og busker.
TID_HINT_TREES_MOBILE,Du kan bruke sager og økser til å hugge frukttrær og busker.
TID_HINT_MINE,"Dynamitt, TNT-tønner og skuffer kan brukes i gruven."
TID_HINT_GAMECENTER_FRIENDS,Du kan også legge til venner fra Game Center-applikasjonen eller Supercell ID!
TID_HINT_GAMECENTER_FRIENDS_ANDROID,Du kan legge venner til Hay Day når du legger til en venn i Supercell ID!
TID_HINT_ROADSIDESHOP,Logg inn på Game Center for å bruke landhandelen og avisen!
TID_HINT_ROADSIDESHOP_MOBILE,SPØRSMÅL 17
TID_HINT_ROADSIDESHOP_ANDROID,Logg inn på Supercell ID for å bruke landhandelen og avisen!
TID_HINT_ROADSIDESHOP_MOBILE_ANDROID,Logg inn på Supercell ID for å bruke landhandelen og avisen!
TID_HINT_GENERAL_HELP,Høst inn avlinger og produser varer. Lagre varene og selg dem!
TID_HINT_GENERAL_HELP_MOBILE,Høst inn avlinger og produser varer. Lagre varene og selg dem!
TID_BOAT_ARRIVING_SOON,Båten kommer!
TID_NOTIFICATION_ROADSIDE_SHOP_CLEAR,Det er solgt varer i landhandelen!
TID_REPAIR_DOCKS_TITLE,Reparere bryggen?
TID_REPAIR_DOCKS_TEXT,Reparer bryggen for å tiltrekke deg båten og fullføre leveranser!
TID_REPAIR_DOCKS_TEXT_MOBILE,Reparer bryggen for å tiltrekke deg båten og fullføre leveranser!
TID_REPAIR_DOCKS_YES,Start reparasjon
TID_REPAIR_MINE_TITLE,Reparere gruve?
TID_REPAIR_MINE_TEXT,"I gruven kan du grave opp varer ved hjelp av dynamitt, TNT-tønner og spader. Du kan finne verdifulle malmårer, og til og med diamanter!"
TID_REPAIR_MINE_YES,Start reparasjon
TID_FRUIT_TREE_FB_HELP_TITLE,Jeg trenger hjelp i frukthagen!
TID_APPLE_TREE_FB_HELP_TEXT,Epletreet visner! Kan du vanne det for meg?
TID_CHERRY_TREE_FB_HELP_TEXT,Kirsebærtreet visner! Kan du vanne det for meg?
TID_CACAO_TREE_FB_HELP_TEXT,Kakaotreet visner! Kan du vanne det for meg?
TID_RASPBERRY_BUSH_FB_HELP_TEXT,Bringebærbusken må vannes sporenstreks! Kan du hjelpe meg?
TID_BLUEBERRY_BUSH_FB_HELP_TEXT,Jeg glemte å vanne bjørnebærbusken! Kan du gjøre det for meg?
TID_FRIEND_BAR_FRIENDS_TAB,Venner
TID_FRIEND_BAR_FOLLOWERS_TAB,Følgere
TID_MINE,Gruve
TID_DOCKS,Brygger
TID_GENERIC_FB_DESCRIPTION,"Hay Day er en helt ny gårdsopplevelse med intuitiv bevegelsesstyring, perfekt for mobiltelefon og nettbrett."
TID_SOCIAL_LOGIN_FRUIT_TREES_TITLE,Hjelp til innhøsting
TID_SOCIAL_LOGIN_FRUIT_TREES_TEXT,Du kan høste inn enda en gang med hjelp av venner på Supercell ID!
TID_FRIEND_BAR_FOLLOWERS,Følgere
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_TITLE,Vedlikehold på vei
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_MESSAGE,"Hei, bønder, vi vil snart utføre litt vedlikeholdsarbeid! Serverne vil startes på nytt om <MINUTES> minutter, og de bør være tilgjengelige igjen noen minutter senere."
TID_NATIVE_DIALOG_SHUTDOWN_STARTED_BUTTON,Grynt!
TID_NATIVE_DIALOG_MAINTENANCE_TITLE,Serveren er offline
TID_NATIVE_DIALOG_MAINTENANCE_MESSAGE,Vi utfører vedlikehold på Hay Day. Beklager ulempene dette medfører. Prøv igjen senere!
TID_NATIVE_DIALOG_MAINTENANCE_BUTTON,Prøv å logge inn på nytt
TID_STAND_ALREADY_BOUGHT,"Beklager, noen har allerede kjøpt dette!"
TID_START_FOLLOWING,Bondegård fulgt og lagt til på vennelinjen.
TID_STOP_FOLLOWING,Bondegård følges ikke lenger.
TID_MAX_FOLLOWERS,Kan ikke følge bondegården! Alle sporene er i bruk.
TID_FOLLOWER_BAR_INFO,Her finner du personer som følger deg!
TID_FB_LOGIN_REWARD_BUTTON_TEXT,Få <NUMBER> diamanter!
TID_FB_LOGIN_LATER_BUTTON_TEXT,Ikke nå
TID_FB_LOGIN_NEVER_BUTTON_TEXT,Ikke vis igjen
TID_BOY_FIRST_POPUP_TEXT,"Hei! Jeg heter Tom, jeg kan gjøre ærend for deg. Jeg venter ved landhandelen din!"
TID_BOY_FIRST_POPUP_BUTTON,"Ok, la oss prøve"
TID_BOY_SEARCH_TEXT,Hva skal jeg se etter?
TID_BOY_SEARCH_TIMER,Til tjeneste: <TIME>
TID_BOY_SEARCH_TIMER_JUST_TITLE,Til tjeneste:
TID_BOY_SEARCH_BUTTON,Start søk
TID_BOY_FOUND_TEXT,Her er det jeg fant. Hva vil du ha?
TID_BOY_FOUND_CANCEL_BUTTON,Ingen av dem
TID_BOY_RESTING_TEXT,Zzz ... Jeg må visst hvile meg litt ... zzZZZzz...
TID_BOY_RESTING_TIMER,Tilgjengelig igjen om: <TIME>
TID_BOY_HIRE_TEXT,Vil du at jeg skal jobbe for deg igjen?
TID_BOY_HIRE_REENGAGEMENT_TEXT,"Hei, <name>. Hyggelig at du er tilbake! Jeg vil være her de neste par dagene hvis du trenger hjelp. Jeg spanderer!"
TID_BOY_HIRE_TIME,<DAYS> dager
TID_BOY_HIRE_TIME_1DAY,1 dag
TID_BOY_HIRE_CANCEL_BUTTON,Nei takk
TID_BOY_HIRE_CANCELED_TEXT,"Det var hyggelig å arbeide for deg! Hvis du har flere ærend som skal gjøres, kan du trykke på denne boksen!"
TID_BOY_HIRE_CANCELED_TEXT_MOBILE,"Det var hyggelig å arbeide for deg! Hvis du har flere ærend som skal gjøres, kan du trykke på denne boksen!"
TID_FAQ_TITLE,Hay Day-kundestøtte
TID_FAQ_BUTTON,Hjelp og støtte
TID_UPDATE_REQUIRED_DIALOG_TITLE,Spillet må oppdateres
TID_MAINTENANCE_DIALOG_TITLE,Vedlikehold
TID_FAQ_QUESTION_1,Spørsmål: Hvorfor kan jeg ikke åpne Facebook-siden deres med \qSiste oppdateringer\q-knappen når jeg har valgt kinesisk språk?
TID_FAQ_ANSWER_1,"Svar: Siden Facebook ikke er tilgjengelig i Kina, blir du sendt videre til vår kinesiske fan-side på Weibo når du trykker på knappen. Hvis du bruker kinesisk språk i Hay Day, men har tilgang til Facebook i regionen din, kan du bruke denne linken: http://www.facebook.com/HayDayOfficial"
TID_STRAWBERRY,Jordbær
TID_FAQ_QUESTION_2,Spørsmål: Jeg har mistet gården min. Hvordan kan jeg få den tilbake?
TID_FAQ_ANSWER_2,"Svar: Vi anbefaler at du bare spiller med én gård per enhet, og at du knytter gården til din egen Game Center- eller Supercell ID-konto. Hvis du laster inn flere gårder på samme enhet, kan du miste tilgang til én eller flere kontoer. Hvis du har mistet gården din, kan du kontakte spillerstøtte via knappen \qRapporter et problem\q under. Ikke glem å oppgi navn og nivå for den gamle gården!"
TID_FAQ_ANSWER_2_ANDROID,"Svar: Vi anbefaler at du bare spiller med én gård per enhet, og at du knytter gården til din egen Google Play- eller Supercell ID-konto. Hvis du laster inn flere gårder på samme enhet, kan du miste tilgang til én eller flere kontoer. Hvis du har mistet gården din, kan du kontakte spillerstøtte via knappen \qRapporter et problem\q under. Ikke glem å oppgi navn og nivå for den gamle gården!"
TID_FAQ_QUESTION_3,Spørsmål: Jeg kan ikke kjøpe diamanter. Jeg trenger hjelp!
TID_FAQ_ANSWER_3,"Svar: Problemer med å kjøpe diamanter eller mynter er vanligvis bare midlertidige. Prøv å foreta et kjøp igjen om et par timer! Du bør også sørge for at kjøp i apper er aktivert på enheten, og at du bruker den nyeste versjonen av iOS. Hvis problemet vedvarer, kan du kontakte spillerstøtteteamet vårt ved å trykke på \qRapporter et problem\q nedenfor."
TID_FAQ_ANSWER_3_ANDROID,"Svar: Problemer med å kjøpe diamanter eller mynter er vanligvis bare midlertidige. Prøv å foreta et kjøp igjen om et par timer! Sørg også for at kjøp i apper er aktivert på enheten, og at du bruker den nyeste versjonen av Android. Hvis problemet vedvarer, kan du kontakte spillerstøtteteamet vårt ved å trykke på \qRapporter et problem\q nedenfor."
TID_FAQ_QUESTION_4,Spørsmål: Hvordan får jeg flere diamanter?
TID_FAQ_ANSWER_4,"Svar: Du kan tjene diamanter ved å vinne utmerkelser og ved å nå høyere nivåer. Du kan også finne dem tilfeldig i forundringskasser og i gruven. Når du besøker andre gårder, kan du finne flere forundringskasser. Husk at du også kan kjøpe diamanter!"
TID_FAQ_QUESTION_5,Spørsmål: Jeg har gått tom for hvete eller en annen avling! Hvordan skaffer jeg mer?
TID_FAQ_ANSWER_5,"Svar: Hvis du har plantet alle frøene fra en bestemt avling, må du vente til avlingen er moden. Hvis du ikke har mer igjen i siloen eller på åkeren, kan du skaffe mer av avlingen ved å betale diamanter, besøke Greg eller en venn og kjøpe avlingen fra landhandelen deres, eller du kan se i avisen om noen har noe til salgs!"
TID_FAQ_QUESTION_6,"Spørsmål: Jeg har høstet inn noen avlinger, men de er ikke i siloen!"
TID_FAQ_ANSWER_6,"Svar: Når du planter avlinger, blir det tatt frø direkte fra siloen. Hvis du for eksempel har 6 hvete i siloen og planter 3 hvete, vil du bare ha 3 hvete igjen til produksjon eller leveranser. Når spillere sår en avling med en gang de har høstet den inn, kan det se ut som at avlingene er borte. Bare vent til de vokser på åkeren, så får du snart mer igjen!"
TID_FAQ_QUESTION_7,Spørsmål: Hvordan mater jeg gårdsdyrene og kjæledyrene mine?
TID_FAQ_ANSWER_7,"Svar: Du trenger en fôrmølle for å produsere mat til dyrene dine. Fôrmøllen er tilgjengelig fra butikken under Bygninger. Når du har bygd møllen, kan du trykke på den og dra ønsket dyrefôr til produksjonskøen. Dyrefôr lages av enkle avlinger, så du kan plante og høste mer om nødvendig. Når du skal mate kjæledyrene, trykker du på hundehuset/kattehuset eller stallen og drar maten bort til huset."
TID_FAQ_QUESTION_8,Spørsmål: Hjelp! Kjæledyret mitt er ikke lenger på gården!
TID_FAQ_ANSWER_8,"Svar: Noen ganger er kjæledyr skjult bak et tre eller sitter fast bak en bygning! Hvis du trykker på kjæledyrhuset og drar fløyten til det, skal alle kjæledyrene dine løpe tilbake til huset sitt med en gang!"
TID_FAQ_QUESTION_9,"Spørsmål: Hvor finner jeg indigo, gresskar, pizza og sjokoladekake?"
TID_FAQ_ANSWER_9,"Svar: Når du har nådd et høyt nok nivå til å dyrke indigo og andre avanserte avlinger, kan du finne dem slik:\n\n1) Trykk på en tom åkerlapp - avlingsmenyen åpnes\n2) Trykk på den lille bryterknappen (med to piler) nede i venstre hjørne av avlingsmenyen\n3) Plant en avling ved å dra den til åkeren\nFor å få tilgang til enkle avlinger som hvete, gulrøtter o.l., trykker du bare på bryterknappen igjen."
TID_FAQ_QUESTION_10,Spørsmål: Hvordan virker trær og busker?
